"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","18-Sep-2026","15,382.93","14,823.11","559.82"
"FII/FPI","18-Sep-2026","37,143.68","36,515.21","628.47"
