"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","10-Sep-2026","11,583.78","10,646.56","937.22"
"FII/FPI","10-Sep-2026","10,797.86","11,155.24","-357.38"
