"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII","21-Sep-2026","14,098.64","11,301.37","2,797.27"
"FII/FPI","21-Sep-2026","10,637.17","11,213.37","-576.20"
